timestamp,speed,rpm,calculated_engine_load,absolute_engine_load,relative_throttle_pos,absolute_throttle_pos,timing_advance,fuel_rail_pressure,intake_manifold_pressure,coolant_temperature,fuel_level,catalyst_temperature_bank1sensor1,catalyst_temperature_bank1sensor2,o2_bank1sensor2_voltage,o2_bank1sensor1_wr_lambda_current,short_term_fuel_trim_bank1,short_term_o2_trim_bank1
0.036664,0.0,791.0,35.294117647058826,21.56862745098039,3.5294117647058822,14.509803921568627,2.0,4390.0,33,68,51.372549019607845,260.90000000000003,197.10000000000002,0.42,-0.0390625,1.5625,0.0
1.118765,0.0,781.0,34.509803921568626,21.176470588235293,3.5294117647058822,14.509803921568627,1.5,4260.0,33,69,51.372549019607845,262.1,198.20000000000002,0.42,0.02734375,1.5625,0.0
1.461199,0.0,779.0,34.509803921568626,21.176470588235293,3.5294117647058822,14.509803921568627,2.0,4300.0,33,69,51.372549019607845,263.2,199.20000000000002,0.42,0.02734375,1.5625,0.0
1.802736,0.0,766.0,34.90196078431372,21.96078431372549,3.5294117647058822,14.509803921568627,0.5,4240.0,33,69,51.372549019607845,263.2,199.20000000000002,0.42,0.02734375,1.5625,0.0
2.141423,0.0,748.0,34.90196078431372,21.56862745098039,3.1372549019607843,14.117647058823529,3.5,4260.0,33,69,50.98039215686274,264.3,200.3,0.42,0.0390625,1.5625,0.0
2.481729,0.0,773.0,33.72549019607843,20.392156862745097,3.1372549019607843,14.117647058823529,4.0,4270.0,32,69,51.76470588235294,265.40000000000003,201.3,0.42,0.01171875,1.5625,0.0
2.822702,0.0,766.0,33.333333333333336,20.392156862745097,3.1372549019607843,14.117647058823529,5.0,4210.0,32,69,50.98039215686274,265.40000000000003,202.20000000000002,0.42,-0.015625,1.5625,0.0
3.161203,0.0,764.0,33.72549019607843,20.392156862745097,3.1372549019607843,14.117647058823529,4.5,4230.0,32,69,51.76470588235294,266.40000000000003,202.20000000000002,0.42,-0.015625,1.5625,0.0
3.50161,0.0,772.0,33.72549019607843,20.784313725490197,3.1372549019607843,14.117647058823529,5.0,4210.0,32,69,50.98039215686274,267.5,203.20000000000002,0.42,-0.03125,1.5625,0.0
3.841068,0.0,773.0,33.72549019607843,20.784313725490197,3.1372549019607843,14.117647058823529,4.0,4170.0,32,69,51.372549019607845,268.5,204.20000000000002,0.42,-0.05078125,1.5625,0.0
4.182833,0.0,767.0,33.72549019607843,20.784313725490197,3.1372549019607843,14.117647058823529,5.0,4190.0,32,69,51.372549019607845,268.5,204.20000000000002,0.42,-0.05078125,1.5625,0.0
4.521066,0.0,758.0,34.11764705882353,21.176470588235293,3.1372549019607843,14.117647058823529,4.0,4180.0,32,69,51.76470588235294,269.5,205.20000000000002,0.42,-0.00390625,0.78125,0.0
4.861374,0.0,756.0,34.11764705882353,21.176470588235293,3.1372549019607843,14.117647058823529,4.5,4140.0,32,69,51.372549019607845,270.6,206.3,0.42,0.0390625,1.5625,0.0
5.201377,0.0,754.0,34.509803921568626,21.176470588235293,3.1372549019607843,14.117647058823529,6.0,4190.0,33,69,51.372549019607845,270.6,206.3,0.42,0.046875,1.5625,0.0
5.541642,0.0,766.0,34.509803921568626,21.176470588235293,3.1372549019607843,14.117647058823529,5.0,4140.0,33,69,51.372549019607845,271.6,207.3,0.42,0.046875,1.5625,0.0
5.882215,0.0,767.0,34.509803921568626,21.176470588235293,3.1372549019607843,14.117647058823529,3.5,4160.0,33,69,50.98039215686274,272.70000000000005,208.4,0.42,0.046875,1.5625,0.0
6.221456,0.0,759.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,5.0,4250.0,32,69,51.76470588235294,272.70000000000005,208.4,0.42,0.02734375,2.34375,0.0
6.561837,0.0,767.0,34.11764705882353,21.176470588235293,3.1372549019607843,14.117647058823529,4.5,4210.0,32,69,51.372549019607845,273.70000000000005,209.4,0.42,-0.00390625,2.34375,0.0
6.902554,0.0,775.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,3.5,4200.0,32,69,51.372549019607845,274.8,210.4,0.42,-0.015625,2.34375,0.0
7.241573,0.0,769.0,33.72549019607843,20.784313725490197,3.1372549019607843,14.117647058823529,5.5,4240.0,32,69,51.372549019607845,274.8,210.4,0.42,-0.03125,2.34375,0.0
7.582038,0.0,774.0,33.72549019607843,20.784313725490197,3.1372549019607843,14.117647058823529,4.5,4200.0,32,69,51.372549019607845,275.8,211.4,0.42,-0.0390625,2.34375,0.0
7.921579,0.0,766.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,5.0,4220.0,32,69,51.372549019607845,276.8,212.5,0.42,-0.015625,1.5625,0.0
8.261512,0.0,755.0,34.11764705882353,21.176470588235293,3.1372549019607843,14.117647058823529,6.5,4200.0,32,69,50.98039215686274,276.8,212.5,0.42,0.01953125,1.5625,0.0
8.601869,0.0,750.0,34.509803921568626,21.176470588235293,3.1372549019607843,14.117647058823529,5.0,4170.0,33,69,50.98039215686274,277.8,213.5,0.42,0.0390625,2.34375,0.0
8.942841,0.0,750.0,34.509803921568626,21.176470588235293,3.1372549019607843,14.117647058823529,4.0,4220.0,33,69,51.372549019607845,278.70000000000005,214.5,0.42,0.046875,2.34375,0.0
9.28173,0.0,757.0,34.11764705882353,21.176470588235293,3.1372549019607843,14.117647058823529,4.5,4210.0,33,69,51.372549019607845,278.70000000000005,214.5,0.42,0.0625,2.34375,0.0
9.622432,0.0,751.0,34.509803921568626,21.176470588235293,3.1372549019607843,14.117647058823529,4.5,4220.0,33,69,50.98039215686274,279.70000000000005,215.5,0.42,0.0390625,2.34375,0.0
9.961307,0.0,758.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,5.0,4270.0,32,69,51.372549019607845,280.70000000000005,216.5,0.42,0.00390625,2.34375,0.0
10.301502,0.0,765.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,5.0,4210.0,32,69,50.98039215686274,280.70000000000005,216.5,0.42,-0.0234375,2.34375,0.0
10.642617,0.0,775.0,33.72549019607843,20.784313725490197,3.1372549019607843,14.117647058823529,5.0,4230.0,32,69,51.372549019607845,281.70000000000005,217.5,0.42,-0.0234375,2.34375,0.0
10.981699,0.0,778.0,33.72549019607843,20.392156862745097,3.1372549019607843,14.117647058823529,5.0,4270.0,32,69,50.98039215686274,282.70000000000005,218.5,0.42,-0.03125,3.125,0.0
11.321735,0.0,765.0,33.72549019607843,20.784313725490197,3.1372549019607843,14.117647058823529,6.0,4210.0,32,69,51.372549019607845,282.70000000000005,219.5,0.42,-0.0234375,2.34375,0.0
11.661335,0.0,760.0,33.72549019607843,20.784313725490197,3.1372549019607843,14.117647058823529,5.5,4230.0,32,69,50.98039215686274,283.70000000000005,219.5,0.42,0.00390625,2.34375,0.0
12.001736,0.0,761.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,5.5,4220.0,32,69,51.372549019607845,284.5,220.5,0.42,0.01953125,2.34375,0.0
12.341583,0.0,759.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,4.5,4190.0,32,69,51.372549019607845,285.5,221.5,0.42,0.02734375,2.34375,0.0
12.682877,0.0,755.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,6.5,4220.0,32,69,50.98039215686274,285.5,221.5,0.42,0.046875,2.34375,0.0
13.021483,0.0,763.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,3.5,4220.0,32,69,51.372549019607845,286.40000000000003,222.5,0.42,0.0546875,3.125,0.0
13.361432,0.0,754.0,34.11764705882353,20.784313725490197,3.1372549019607843,14.117647058823529,6.0,4230.0,32,69,50.98039215686274,287.3,223.40000000000003,0.42,0.01171875,3.125,0.0
